polling_station,type,constituency,constituency_winner,district,registeredVoters,totalVotes_cast,top1_vote,top1_name,top1_party,top2_vote,top2_name,top2_party
দলুয়া মাধ্যমিক বিদ্যালয়,FEMALE,satkhira-1,jamaat,satkhira,2465,1801,948,Md. Habibull Islam Habib,bnp,837,Md. Izzat Ullah,jamaat
দৌলতখান বালক সরকারী উচ্চ বিদ্যালয়,MALE,bhola-2,bnp,bhola,2845,1331,999,Md. Hafez Ibrahim,bnp,326,Mohammad Fazlul Karim,jamaat
দৌলতখান বালক সরকারী উচ্চ বিদ্যালয়,FEMALE,bhola-2,bnp,bhola,2546,1328,999,Md. Hafez Ibrahim,bnp,326,Mohammad Fazlul Karim,jamaat
নিজপাট সরকারী প্রাঃ বিদ্যালয়,MALE,sylhet-4,bnp,sylhet,2683,1475,864,Ariful Haque Choudhury,bnp,560,Md. Zainal Abedin,jamaat
নিজপাট সরকারী প্রাঃ বিদ্যালয়,FEMALE,sylhet-4,bnp,sylhet,2665,842,487,Ariful Haque Choudhury,bnp,327,Md. Zainal Abedin,jamaat
নিরালা আদর্শ মাধ্যমিক বিদ্যালয়,MALE,khulna-2,jamaat,khulna,2952,1545,784,Nazrul Islam Manju,bnp,697,Sheikh Jahangir Hossain Helal,jamaat
নিরালা আদর্শ মাধ্যমিক বিদ্যালয়,FEMALE,khulna-2,jamaat,khulna,3001,1439,704,Nazrul Islam Manju,bnp,696,Sheikh Jahangir Hossain Helal,jamaat
পাইওনিয়ার মাধ্যমিক বালিকা বিদ্যালয়,FEMALE,khulna-2,jamaat,khulna,1716,725,417,Nazrul Islam Manju,bnp,299,Sheikh Jahangir Hossain Helal,jamaat
পাইওনিয়ার মাধ্যমিক বালিকা বিদ্যালয়,MALE,khulna-2,jamaat,khulna,1551,825,499,Nazrul Islam Manju,bnp,314,Sheikh Jahangir Hossain Helal,jamaat
পাঁচুপুর দ্বি-মুখী উচ্চ বিদ্যালয়,MALE,naogaon-6,bnp,naogaon,2584,1700,793,Sheikh Mohammad Rezaul Karim,bnp,763,Md. Khabirul Islam,jamaat
পাঁচুপুর দ্বি-মুখী উচ্চ বিদ্যালয়,FEMALE,naogaon-6,bnp,naogaon,2693,1778,858,Sheikh Mohammad Rezaul Karim,bnp,810,Md. Khabirul Islam,jamaat
পাটকেলঘাটা হারুন অর রশিদ ডিগ্রী কলেজ,MALE,satkhira-1,jamaat,satkhira,2719,1990,1047,Md. Habibull Islam Habib,bnp,885,Md. Izzat Ullah,jamaat
পাটকেলঘাটা হারুন অর রশিদ ডিগ্রী কলেজ,FEMALE,satkhira-1,jamaat,satkhira,2845,1937,997,Md. Izzat Ullah,jamaat,907,Md. Habibull Islam Habib,bnp
পাবনা জেলা স্কুল,MALE,pabna-5,bnp,pabna,2443,1300,907,Md. Shamsur Rahman Shimul Biswas,bnp,384,Md. Iqbal Hossain,jamaat
পাবনা জেলা স্কুল,FEMALE,pabna-5,bnp,pabna,2505,1175,741,Md. Shamsur Rahman Shimul Biswas,bnp,426,Md. Iqbal Hossain,jamaat
পুঠিয়া পরেশ নারায়ন সরকারী উচ্চ বিদ্যালয়,MALE,rajshahi-5,bnp,rajshahi,1965,1345,760,Professor Nazrul Islam,bnp,455,Manjur Rahman,jamaat
পুঠিয়া পরেশ নারায়ন সরকারী উচ্চ বিদ্যালয়,FEMALE,rajshahi-5,bnp,rajshahi,2078,1249,695,Professor Nazrul Islam,bnp,433,Manjur Rahman,jamaat
পোড়াদহ মাধ্যমিক বিদ্যালয়,MALE,kushtia-2,bnp,kushtia,2417,1777,876,Md. Abdul Gafur,jamaat,868,Raghib Rauf Chowdhury,bnp
পোড়াদহ মাধ্যমিক বিদ্যালয়,FEMALE,kushtia-2,bnp,kushtia,2656,1830,983,Md. Abdul Gafur,jamaat,822,Raghib Rauf Chowdhury,bnp
ফরক্কাবাদ নুরুল ইসলাম স্কুল এন্ড কলেজ,MALE,dinajpur-2,bnp,dinajpur,2557,1926,1134,A. K. M. Afzalul Anam,jamaat,700,Md. Sadiq Riaz,bnp
ফরক্কাবাদ নুরুল ইসলাম স্কুল এন্ড কলেজ,FEMALE,dinajpur-2,bnp,dinajpur,2590,1771,1055,A. K. M. Afzalul Anam,jamaat,628,Md. Sadiq Riaz,bnp
বহেরা আজিজুল তছিমুদ্দীন মাধ্যমিক বিদ্যালয়,MALE,satkhira-2,jamaat,satkhira,2704,1926,1177,Muhammad Abdul Khalek,jamaat,725,Mohammad Abdur Rouf,bnp
বহেরা আজিজুল তছিমুদ্দীন মাধ্যমিক বিদ্যালয়,FEMALE,satkhira-2,jamaat,satkhira,2824,2046,1434,Muhammad Abdul Khalek,jamaat,596,Mohammad Abdur Rouf,bnp
বান্ডেল সরকারি,MALE,chattogram-9,bnp,chattogram,1799,694,568,Mohammad Abu Sufiyan,bnp,94,Dr. A K M Fazlul Haque,jamaat
বান্ডেল সরকারি,FEMALE,chattogram-9,bnp,chattogram,1820,849,713,Mohammad Abu Sufiyan,bnp,115,Dr. A K M Fazlul Haque,jamaat
বালাজাননেসা বালিকা উচ্চ বিদ্যালয়,MALE,rajshahi-2,bnp,rajshahi,2330,1671,917,Mohammad Jahangir,jamaat,737,Md. Mizanur Rahman Minu,bnp
বালাজাননেসা বালিকা উচ্চ বিদ্যালয়,FEMALE,rajshahi-2,bnp,rajshahi,2552,1625,877,Mohammad Jahangir,jamaat,730,Md. Mizanur Rahman Minu,bnp
মনিয়ারী সরকারি প্রাথমিক বিদ্যালয়,MALE,naogaon-6,bnp,naogaon,2254,1421,687,Sheikh Mohammad Rezaul Karim,bnp,578,Md. Khabirul Islam,jamaat
মনিয়ারী সরকারি প্রাথমিক বিদ্যালয়,FEMALE,naogaon-6,bnp,naogaon,2212,1361,683,Sheikh Mohammad Rezaul Karim,bnp,565,Md. Khabirul Islam,jamaat
মহাদিঘী সরকারি প্রাথমিক বিদ্যালয়,MALE,naogaon-6,bnp,naogaon,2663,1751,943,Md. Khabirul Islam,jamaat,693,Sheikh Mohammad Rezaul Karim,bnp
মহাদিঘী সরকারি প্রাথমিক বিদ্যালয়,FEMALE,naogaon-6,bnp,naogaon,2698,1791,957,Md. Khabirul Islam,jamaat,744,Sheikh Mohammad Rezaul Karim,bnp
মাওলানা ভাসানী বিদ্যাপীঠ,MALE,khulna-3,bnp,khulna,1697,855,463,Rakibul Islam,bnp,336,Muhammad Mahfuzur Rahman,jamaat
মাওলানা ভাসানী বিদ্যাপীঠ,FEMALE,khulna-3,bnp,khulna,1710,879,425,Muhammad Mahfuzur Rahman,jamaat,411,Rakibul Islam,bnp
মোখলেসপুর উচ্চ বিদ্যালয়,MALE,dinajpur-2,bnp,dinajpur,2683,1984,994,A. K. M. Afzalul Anam,jamaat,855,Md. Sadiq Riaz,bnp
মোখলেসপুর উচ্চ বিদ্যালয়,FEMALE,dinajpur-2,bnp,dinajpur,2585,1806,859,A. K. M. Afzalul Anam,jamaat,753,Md. Sadiq Riaz,bnp
রাজশাহী আর্দশ উচ্চ বিদ্যালয়,FEMALE,rajshahi-2,bnp,rajshahi,4341,2061,1018,Md. Mizanur Rahman Minu,bnp,1016,Mohammad Jahangir,jamaat
রাজশাহী আর্দশ উচ্চ বিদ্যালয়,MALE,rajshahi-2,bnp,rajshahi,2650,1453,830,Md. Mizanur Rahman Minu,bnp,591,Mohammad Jahangir,jamaat
রাজশাহী মুসলিম উচ্চ বিদ্যালয়,MALE,rajshahi-2,bnp,rajshahi,2018,1302,732,Md. Mizanur Rahman Minu,bnp,558,Mohammad Jahangir,jamaat
রাজশাহী মুসলিম উচ্চ বিদ্যালয়,FEMALE,rajshahi-2,bnp,rajshahi,2197,1288,680,Md. Mizanur Rahman Minu,bnp,597,Mohammad Jahangir,jamaat
রামচন্দ্র বহরপুর সরকারী প্রাথমিক বিদ্যালয়,MALE,pabna-4,jamaat,pabna,2756,2151,1052,Md. Abu Taleb Mondal,jamaat,865,Md. Habibur Rahman (Habib),bnp
রামচন্দ্র বহরপুর সরকারী প্রাথমিক বিদ্যালয়,FEMALE,pabna-4,jamaat,pabna,2655,1886,974,Md. Abu Taleb Mondal,jamaat,747,Md. Habibur Rahman (Habib),bnp
রায়ের মহল সরকারি প্রাথমিক বিদ্যালয়,MALE,khulna-3,bnp,khulna,2208,1273,749,Rakibul Islam,bnp,440,Muhammad Mahfuzur Rahman,jamaat
রায়ের মহল সরকারি প্রাথমিক বিদ্যালয়,FEMALE,khulna-3,bnp,khulna,1818,1140,578,Rakibul Islam,bnp,521,Muhammad Mahfuzur Rahman,jamaat
